room_no,Guests,Check_in,Expected_check_out,no_guests,room_type,breakfast_included,bill,available
1,,,,0,"Single(?4,000 per night)",,,1
2,,,,0,"Single(?4,000 per night)",,,1
3,,,,0,"Single(?4,000 per night)",,,1
4,,,,0,"Single(?4,000 per night)",,,1
5,,,,0,"Single(?4,000 per night)",,,1
6,,,,0,"Double(?7,000 per night)",,,1
7,,,,0,"Double(?7,000 per night)",,,1
8,,,,0,"Double(?7,000 per night)",,,1
9,,,,0,"Double(?7,000 per night)",,,1
10,,,,0,"Double(?7,000 per night)",,,1
11,0.0,2026-12-12,2027-12-12,1,"Suite(₹10,000 per night)",Y,4062750.0,0
12,"G1, G2, G3, G4",2026-07-10,2026-07-15,4,"Suite(₹10,000 per night)",Y,65400.0,0
13,,,,0,"Suite(?10,000 per night)",,,1
14,,,,0,"Suite(?10,000 per night)",,,1
15,,,,0,"Suite(?10,000 per night)",,,1
